NAME	Basal	Club	Goblet	Hillock	Multiciliated_Deuterosomal	Suprabasal
A2ML1	1	1	1	228.144614380677	1	1
AACS	1	43.2770047449563	1	1	1	52.3731317454576
AARS1	1	49.711817849586	1	1	1	79.9509534727179
ABCA7	1	46.7819210855773	72.9999130511908	39.3942488846929	1	1
ABCC3	54.3464144218815	1	1	1	1	1
ABCF2	1	1	1	61.5958393842353	1	1
ABCF3	49.4198850577734	1	1	1	1	1
ABCG1	1	1	1	1	1	74.7536275224779
ABHD17B	1	1	1	56.3503705794758	1	1
ABHD17C	38.0302562681083	52.6292746941363	1	137.392893809073	1	1
ABL1	38.3799613563169	1	52.5728445156071	1	1	1
ABL2	42.5251531458203	1	1	1	1	83.9686639682947
ABLIM3	1	1	1	50.3709337642223	1	71.150828653767
AC004832.1	1	1	1	1	219.358868100565	1
AC007906.2	1	1	1	1	701.356000173792	1
AC013264.1	1	1	1	1	591.916466715127	1
AC084033.3	1	1	1	1	294.614452763134	1
AC244090.1	1	1	1	1	344.029875051547	1
ACBD3.AS1.1	1	1	1	1	140.402852153006	1
ACBD5	1	33.5456786258985	1	49.2093207973495	1	1
ACE2	1	1	1	97.9370691979689	1	1
ACER2	1	1	1	47.9012624221748	1	1
ACER3	1	25.7695358508471	1	1	1	1
ACKR3	114.949369136308	1	1	67.545819664974	1	1
ACO1	1	38.6024915745153	1	1	1	1
ACOT7	70.8715519345221	1	72.3570888436046	1	1	101.667500524939
ACOT9	53.1407070622982	1	72.5551859796328	1	27.0999661950556	1
ACP2	1	37.3360698368646	1	1	1	1
ACP6	1	37.1067649332593	1	1	1	1
ACSS2	1	71.23338069484	108.363364543944	40.7329806936354	1	67.9280131697296
ACTL6A	44.1505184063619	37.0569225664056	1	1	1	86.3122651652413
ACYP1	1	1	1	1	109.126923232206	1
ADAM28	1	143.354794454761	110.862410885389	53.369739176738	1	1
ADAM8	1	1	1	1	1	86.7535122624027
ADAMTSL5	41.3233638973621	1	1	1	1	1
ADAT1	1	32.8938607085227	1	1	1	1
ADCY6	1	1	1	54.5862811810839	1	1
ADGRF4	52.1918128433255	1	1	60.4682511846205	1	70.9788303218298
ADGRF5	1	47.6258736172849	1	1	34.793658408514	1
ADGRL2	1	1	1	69.3589339913163	1	1
ADH1C	136.560141647	178.498235673194	1	1	83.0796832283444	1
ADH7	121.13325243186	1	1	366.540906021583	120.220372165755	167.339359695474
ADIRF	268.193094013803	55.4520352610307	1	282.135246892814	1	1
ADPRS	1	1	1	1	1	107.322260317077
ADRB2	97.1207418692882	74.7035753100915	118.127630682557	1	1	115.534875466379
AEBP2	36.3394279233394	1	1	47.9344975595892	1	1
AGGF1	36.7148938162863	1	1	48.962041452982	1	59.1791851880378
AGR3	1	52.5332965684233	1	1	1312.76762630792	1
AIP	32.2115705711421	49.1223472004286	1	1	1	1
AJUBA	178.377634846559	1	1	1	1	71.2365495565565
AK7	1	1	1	1	138.260227906057	1
AK9	1	1	1	1	130.072789869114	1
AKAP12	86.5016310058311	1	1	1	1	1
AKAP14	1	1	1	1	233.314372432961	1
AKNA	1	1	1	1	117.890352769193	1
AL121899.1	1	1	1	1	120.696171465171	1
AL357093.2	1	1	1	1	1126.02301492393	1
ALAD	1	31.015512029781	1	94.3511861457951	1	1
ALDH3B1	1	61.8799994569606	117.475130451035	1	637.621363023109	1
ALDH3B2	1	48.6353464303762	1	87.046593117601	1	78.9972935056848
ALDH4A1	34.4882148263761	1	1	1	1	1
ALG8	1	29.3639423999876	1	36.8181917853192	1	1
