NAME	Basal	Club	Goblet	Hillock	Multiciliated_Deuterosomal	Suprabasal
ENSG00000166535	1	1	1	228.144614380677	1	1
ENSG00000081760	1	43.2770047449563	1	1	1	52.3731317454576
ENSG00000090861	1	49.711817849586	1	1	1	79.9509534727179
ENSG00000064687	1	46.7819210855773	72.9999130511908	39.3942488846929	1	1
ENSG00000108846	54.3464144218815	1	1	1	1	1
ENSG00000033050	1	1	1	61.5958393842353	1	1
ENSG00000161204	49.4198850577734	1	1	1	1	1
ENSG00000160179	1	1	1	1	1	74.7536275224779
ENSG00000107362	1	1	1	56.3503705794758	1	1
ENSG00000136379	38.0302562681083	52.6292746941363	1	137.392893809073	1	1
ENSG00000097007	38.3799613563169	1	52.5728445156071	1	1	1
ENSG00000143322	42.5251531458203	1	1	1	1	83.9686639682947
ENSG00000173210	1	1	1	50.3709337642223	1	71.150828653767
ENSG00000107897	1	33.5456786258985	1	49.2093207973495	1	1
ENSG00000130234	1	1	1	97.9370691979689	1	1
ENSG00000177076	1	1	1	47.9012624221748	1	1
ENSG00000078124	1	25.7695358508471	1	1	1	1
ENSG00000144476	114.949369136308	1	1	67.545819664974	1	1
ENSG00000122729	1	38.6024915745153	1	1	1	1
ENSG00000097021	70.8715519345221	1	72.3570888436046	1	1	101.667500524939
ENSG00000123130	53.1407070622982	1	72.5551859796328	1	27.0999661950556	1
ENSG00000134575	1	37.3360698368646	1	1	1	1
ENSG00000162836	1	37.1067649332593	1	1	1	1
ENSG00000131069	1	71.23338069484	108.363364543944	40.7329806936354	1	67.9280131697296
ENSG00000136518	44.1505184063619	37.0569225664056	1	1	1	86.3122651652413
ENSG00000119640	1	1	1	1	109.126923232206	1
ENSG00000042980	1	143.354794454761	110.862410885389	53.369739176738	1	1
ENSG00000151651	1	1	1	1	1	86.7535122624027
ENSG00000185761	41.3233638973621	1	1	1	1	1
ENSG00000065457	1	32.8938607085227	1	1	1	1
ENSG00000174233	1	1	1	54.5862811810839	1	1
ENSG00000153294	52.1918128433255	1	1	60.4682511846205	1	70.9788303218298
ENSG00000069122	1	47.6258736172849	1	1	34.793658408514	1
ENSG00000117114	1	1	1	69.3589339913163	1	1
ENSG00000248144	136.560141647	178.498235673194	1	1	83.0796832283444	1
ENSG00000196344	121.13325243186	1	1	366.540906021583	120.220372165755	167.339359695474
ENSG00000148671	268.193094013803	55.4520352610307	1	282.135246892814	1	1
ENSG00000116863	1	1	1	1	1	107.322260317077
ENSG00000169252	97.1207418692882	74.7035753100915	118.127630682557	1	1	115.534875466379
ENSG00000139154	36.3394279233394	1	1	47.9344975595892	1	1
ENSG00000164252	36.7148938162863	1	1	48.962041452982	1	59.1791851880378
ENSG00000173467	1	52.5332965684233	1	1	1312.76762630792	1
ENSG00000110711	32.2115705711421	49.1223472004286	1	1	1	1
ENSG00000129474	178.377634846559	1	1	1	1	71.2365495565565
ENSG00000140057	1	1	1	1	138.260227906057	1
ENSG00000155085	1	1	1	1	130.072789869114	1
ENSG00000131016	86.5016310058311	1	1	1	1	1
ENSG00000186471	1	1	1	1	233.314372432961	1
ENSG00000106948	1	1	1	1	117.890352769193	1
ENSG00000148218	1	31.015512029781	1	94.3511861457951	1	1
ENSG00000006534	1	61.8799994569606	117.475130451035	1	637.621363023109	1
ENSG00000132746	1	48.6353464303762	1	87.046593117601	1	78.9972935056848
ENSG00000159423	34.4882148263761	1	1	1	1	1
ENSG00000159063	1	29.3639423999876	1	36.8181917853192	1	1
ENSG00000161905	39.2303006599044	176.27965898133	1	1	599.050813248762	1
ENSG00000179593	43.4576065129183	1	1	1	1	1
ENSG00000162551	1	1	137.264987066849	92.0306685899669	1	1
ENSG00000178038	1	1	1	53.1246510196992	43.8142890075717	1
ENSG00000139211	68.6585427116688	1	1	1	1	1
ENSG00000101935	38.9694796653206	1	1	44.8097905074399	1	65.397837380108
ENSG00000166025	64.7834715667174	1	1	1	1	1
ENSG00000196510	28.2931517532956	1	1	1	36.1672691872782	54.1816446679517
ENSG00000154122	67.4625700987467	1	1	1	1	1
ENSG00000088448	1	34.7217828513119	1	1	1	1
ENSG00000152766	1	1	1	127.042016945315	1	65.0002169922033
ENSG00000198483	1	1	1	105.192103457156	1	1
ENSG00000174501	1	71.8367213474962	1	1	69.8084039558725	1
ENSG00000154945	26.6555450518976	39.6751892524659	1	1	1	1
ENSG00000230062	1	1	1	1	181.957170223281	1
ENSG00000206199	1	1	1	1	183.688139807302	1
ENSG00000160746	1	1	1	43.3559059120301	1	1
ENSG00000177119	1	1	1	1	1	69.3128383592906
ENSG00000074855	1	1	1	64.8518661763158	1	1
ENSG00000011201	53.2839837130625	1	1	1	1	1
ENSG00000169604	1	44.8633311488438	1	1	1	1
ENSG00000109511	53.148904425505	1	1	1	1	1
ENSG00000265190	48.7106691167642	1	1	1	1	1
ENSG00000143412	1	1	1	91.1917078882595	1	1
ENSG00000138660	1	35.7542851293288	1	1	1	68.3984345721203
ENSG00000185009	37.912982634002	1	1	45.4802851431036	1	61.2117022417741
ENSG00000254470	1	1	58.8417202661374	59.5372103534991	1	83.9097226713727
ENSG00000125843	1	28.974393401972	1	1	1	1
ENSG00000169188	39.2049157356163	1	1	57.0215380058923	1	57.8077230436845
ENSG00000262156	1	1	1	226.3552947676	1	1
ENSG00000128383	1	1	1	226.3552947676	1	1
ENSG00000184831	1	44.9233026196293	92.1005706451437	50.852918218938	126.272812149939	1
ENSG00000155008	1	37.0202676833548	78.0948915940158	45.701977863534	1	74.5719994767562
ENSG00000137074	36.2198440148642	1	1	1	38.9951620286546	50.6423218347862
ENSG00000161798	1	363.728634987208	811.328926839363	657.373864817022	1	68.5740687529898
ENSG00000047365	1	1	1	57.4554263192524	1	1
ENSG00000149182	1	1	1	36.2656714642162	1	1
ENSG00000112379	1	68.4141356154039	1	1	122.54014189454	1
ENSG00000165322	1	48.6320138457081	47.0009701676195	1	1	1
ENSG00000146376	1	42.8991556519851	76.3908001389478	1	264.550331842598	1
ENSG00000111348	1	80.6233844966498	1	60.7160504773991	1	1
ENSG00000076928	43.8936096831227	1	1	1	1	1
ENSG00000074964	1	28.4815113037027	1	63.3098748141615	1	1
ENSG00000183111	1	1	58.8059776696657	42.746971213301	30.5713049568231	1
ENSG00000102606	1	1	69.4067656804961	1	1	1
ENSG00000165309	1	1	1	1	283.749267197533	1
ENSG00000141480	1	49.4389071618987	1	1	1	1
ENSG00000140450	1	1	104.126753228177	159.252280687291	1	88.2553816327014
ENSG00000153317	39.6425259188376	1	1	1	1	1
