GeneID	Mock.1	Mock.2	Mock.3	RSV.1	RSV.2	RSV.3	Mock.4	P1	P2	P3	P4
A1BG	21	15	7	7	11	2	5	30	33	22	20
A1BG-AS1	3	8	2	9	10	4	10	6	2	7	3
A1CF	3	1	6	5	13	6	4	0	0	1	1
A2M	26	9	30	15	11	6	40	0	0	0	0
A2M-AS1	12	9	6	7	7	7	13	6	2	0	0
A2ML1	64	157	143	58	28	21	126	265	598	444	2016
A2MP1	1	1	2	3	2	1	0	0	0	0	0
A3GALT2	8	6	2	4	2	7	7	1	1	3	0
A4GALT	1205	1086	700	2183	1465	876	509	2601	1039	1256	815
A4GNT	0	1	1	0	0	0	1	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0
AAAS	649	647	426	649	387	257	544	1767	658	1969	691
AACS	813	872	601	1287	866	404	525	1598	1365	1253	826
AACSP1	3	0	8	1	0	0	2	0	0	1	0
AADAC	25	21	43	5	6	5	51	2	0	0	1
AADACL2	274	220	365	145	56	24	681	0	0	0	0
AADACL2-AS1	247	228	275	146	69	29	436	3	0	0	0
AADACL3	0	0	0	1	0	0	1	0	0	0	0
AADACL4	0	0	0	0	0	0	1	0	0	0	0
AADACP1	130	95	121	52	24	7	182	3	0	6	4
AADAT	173	136	139	112	39	44	165	205	104	212	77
AAED1	288	206	151	165	92	40	194	255	225	222	125
AAGAB	950	889	541	1592	897	548	666	1497	2166	1443	846
AAK1	2248	2231	1447	4253	3056	1486	1448	1205	5202	1659	661
AAMDC	99	60	80	72	56	28	76	128	126	182	119
AAMP	1232	1117	702	1544	1050	619	537	4044	4205	3608	1744
AANAT	7	13	3	46	21	25	11	8	0	7	4
AAR2	633	678	436	840	492	290	339	917	687	701	391
AARD	0	0	0	3	0	0	0	0	1	0	0
AARS	8658	8470	5397	13175	8688	4443	4602	6105	11970	5506	3902
AARS2	596	587	438	806	425	352	518	1194	386	1540	465
AARSD1	1	4	0	0	0	0	3	0	0	0	0
AASDH	460	445	288	564	333	162	292	264	418	348	155
AASDHPPT	877	986	595	1237	800	339	514	1248	847	1100	471
AASS	354	395	302	385	256	131	497	298	277	351	186
AATF	484	396	330	621	394	252	280	2639	2346	2453	931
AATK	128	180	124	197	78	122	145	30	22	52	31
AATK-AS1	0	0	0	1	2	0	2	0	0	0	0
ABAT	433	480	470	707	322	213	435	156	84	177	101
ABCA1	800	848	804	1200	979	442	603	1068	375	981	342
ABCA10	127	143	134	179	110	46	342	23	26	23	15
ABCA11P	154	107	150	162	87	54	147	90	68	89	57
ABCA12	4358	3841	1955	1322	985	456	1697	416	663	422	420
ABCA13	48040	51857	40904	34483	22472	9466	49495	99	66	69	44
ABCA17P	4	5	3	1	1	3	3	1	2	1	0
ABCA2	3153	3564	2218	3428	1973	960	1894	1153	313	1663	835
ABCA3	106	142	128	123	112	31	101	67	114	19	6
ABCA4	126	150	80	148	97	45	115	30	9	13	8
ABCA5	1688	1690	1632	1429	969	478	2258	133	325	278	168
ABCA6	50	49	68	60	33	10	138	1	1	3	1
ABCA7	2996	3369	2578	4920	3435	2000	2680	1399	771	1651	560
ABCA8	0	0	1	0	0	0	1	1	0	2	2
ABCA9	52	41	51	55	22	18	95	1	3	4	5
ABCB1	0	0	0	0	0	0	0	1	10	1	0
ABCB10	1037	1132	648	1136	647	352	585	1201	610	1016	376
ABCB11	62	88	62	59	23	17	77	30	5	14	5
ABCB4	11	15	6	24	11	6	12	2	1	6	3
ABCB5	0	0	0	0	0	0	0	0	0	0	0
ABCB6	1394	1394	880	1502	1072	514	782	1048	326	1421	473
ABCB7	409	414	283	501	330	194	274	578	356	507	303
ABCB8	773	782	490	853	478	294	431	1153	1177	1173	554
ABCB9	97	133	62	199	138	85	74	255	74	305	76
ABCC1	5705	5422	2860	8477	6629	2756	2655	4341	9021	4518	2414
ABCC10	1048	1242	783	1331	768	513	976	1015	510	1045	445
ABCC11	8	8	6	3	2	1	3	16	4	12	7
ABCC12	0	0	0	2	0	0	0	0	0	1	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0
ABCC2	50	41	31	58	46	19	72	18	12	34	12
ABCC3	831	919	433	2072	1748	838	512	1137	2436	725	558
ABCC4	390	324	554	390	349	124	503	630	286	313	161
ABCC5	2829	2871	2377	2798	2211	928	3167	1515	431	1353	661
ABCC5-AS1	23	17	27	12	16	4	49	0	0	2	0
ABCC6	701	798	738	1083	536	329	865	4	6	8	6
ABCC6P1	54	60	57	50	34	21	75	0	0	0	1
ABCC6P2	34	28	29	15	10	6	47	1	0	2	1
ABCC8	0	0	0	0	1	0	0	1	0	0	0
ABCC9	610	564	444	345	260	94	484	130	64	100	74
ABCD1	200	222	135	469	242	181	163	283	208	196	107
ABCD2	52	72	92	10	5	2	86	0	0	0	0
ABCD3	2956	3243	1890	3526	2422	1067	1838	2010	1499	1938	879
ABCD4	506	565	383	778	489	219	436	515	228	596	301
ABCE1	1329	1374	717	1658	1141	613	797	4821	2421	3714	1615
ABCF1	1250	1057	730	2032	1226	831	702	3784	2298	3526	1518
ABCF2	986	984	627	1516	970	561	562	3420	2540	3035	1203
ABCF3	1002	948	757	1412	777	607	655	1894	1916	1936	903
ABCG1	625	644	690	1095	768	347	492	679	1702	460	179
ABCG2	19	29	41	12	3	0	30	52	10	41	12
ABCG4	3	1	2	0	2	0	1	5	1	18	8
ABCG5	6	20	6	8	6	2	22	2	1	0	0
ABCG8	2	0	1	3	2	1	1	0	0	0	0
ABHD1	25	10	10	23	4	17	27	0	5	0	0
ABHD10	634	764	430	761	432	224	376	736	809	612	264
ABHD11	963	1200	646	1690	963	551	711	741	132	377	186
ABHD12	667	627	433	1130	838	451	428	1569	1241	1711	665
ABHD12B	274	313	186	234	120	43	255	4	1	28	6
ABHD13	583	615	358	851	588	294	377	480	436	452	243
ABHD14A	76	49	82	60	53	16	50	63	22	108	24
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	621	693	506	891	497	316	461	1025	1224	1057	552
ABHD15	636	749	433	909	547	339	373	624	277	437	192
ABHD16A	694	685	452	1131	776	431	392	646	843	538	313
ABHD16B	156	200	200	342	176	129	116	218	175	171	63
ABHD17A	485	619	422	752	556	240	260	3076	3033	3010	1604
ABHD17B	953	1008	622	1217	809	410	546	422	402	385	172
ABHD17C	919	966	589	1711	1311	592	429	1881	2110	1608	1094
ABHD2	22453	23242	10497	26215	18400	9331	8161	4234	1773	3083	1246
ABHD3	648	827	368	1034	720	326	415	397	357	334	165
ABHD4	647	564	318	1337	1014	517	398	418	780	584	308
ABHD5	836	798	440	1461	996	534	485	984	926	635	315
ABHD6	665	766	519	551	325	184	440	193	355	373	276
ABHD8	406	416	306	605	368	238	201	435	317	640	260
ABI1	2435	2518	1456	3959	2780	1280	1473	2484	3123	2483	1622
ABI2	2481	2641	1658	2680	1495	891	1822	929	772	1076	422
ABI3	0	1	1	1	0	0	0	0	0	0	0
ABI3BP	38	63	39	74	54	19	55	1	16	15	14
ABL1	1837	1978	1346	3677	2471	1461	1116	3439	2497	2967	1278
ABL2	1446	1546	974	2315	1738	822	1040	1759	3365	2293	860
ABLIM1	9639	10230	5331	22398	15158	8163	4264	3529	8473	2932	2616
ABLIM2	34	36	8	70	26	27	29	12	9	6	11
ABLIM3	26	40	15	273	132	130	23	412	235	244	190
ABO	448	460	349	702	390	233	348	577	95	250	103
ABR	3416	3686	2514	6240	3528	2375	2513	3577	2866	3110	1871
ABRA	10	10	5	31	23	8	14	0	0	0	0
ABRACL	297	266	173	577	476	197	179	1673	2238	1467	879
ABT1	334	329	233	582	333	191	177	1404	731	1049	544
ABTB1	171	172	194	261	145	89	139	203	469	259	109
ABTB2	72	64	67	209	158	97	53	513	412	314	137
AC093375.1	100	112	104	202	76	48	203	9	7	15	9
ACAA1	513	526	485	830	506	334	633	2242	754	2003	1142
ACAA2	280	237	163	200	150	71	147	179	105	268	122
ACACA	3700	4034	2675	5531	3678	1656	2685	5659	2279	4825	2699
ACACB	615	699	607	802	466	236	656	89	19	102	40
ACAD10	630	729	557	763	434	215	725	308	439	439	213
ACAD11	129	115	70	115	88	30	113	41	100	82	43
ACAD8	404	473	344	587	326	234	390	633	412	650	313
ACAD9	832	782	526	976	555	336	637	1429	447	1646	694
ACADL	53	51	52	50	26	12	104	21	6	18	8
ACADM	724	625	673	569	409	165	518	1000	291	1027	484
ACADS	292	298	172	378	214	150	126	215	193	225	100
ACADSB	800	877	601	796	489	247	648	467	233	380	256
ACADVL	8208	8235	3577	8114	4853	3128	4143	4232	3507	5175	3510
ACAN	0	0	0	1	0	1	1	0	0	0	0
ACAP1	184	171	177	158	105	65	163	56	57	88	40
ACAP2	2672	2795	1661	3548	2557	1297	1633	1297	2994	1079	609
ACAP3	1135	1181	926	1575	901	599	1009	1581	422	1921	1003
ACAT1	703	585	528	486	245	117	454	968	388	808	531
ACAT2	301	251	224	344	180	122	144	3106	345	2853	1352
ACBD3	1679	1465	1086	2548	1846	953	1098	2381	2924	2120	1161
ACBD4	197	235	177	384	232	140	191	155	172	187	84
ACBD5	1180	1212	722	1462	1038	522	628	871	576	807	302
ACBD6	453	386	295	548	336	196	287	1861	2086	1849	953
ACBD7	879	983	389	404	143	98	403	22	15	18	5
ACCS	322	347	281	370	192	98	386	55	66	117	73
ACCSL	0	0	0	0	1	0	3	0	0	0	0
ACD	215	187	144	219	136	79	141	1340	549	947	363
ACE	123	162	244	222	89	71	230	35	9	8	4
ACE2	119	139	69	536	362	278	93	17	3	18	23
ACER1	1	0	0	0	0	0	1	2	2	0	0
ACER2	397	419	170	730	508	262	158	224	277	403	110
ACER3	369	341	336	629	371	226	323	1086	751	940	416
ACHE	15	16	8	27	28	18	8	24	13	36	7
ACIN1	2965	2741	2178	3476	1995	1486	2696	5526	3194	5284	2305
ACKR1	0	0	0	0	0	0	0	0	0	0	0
ACKR2	123	170	85	419	364	116	99	15	13	10	20
ACKR3	205	206	203	472	261	148	144	1729	88	2565	1228
ACKR4	48	47	45	75	44	35	57	1	6	2	4
ACLY	4126	4258	2367	5117	3084	1736	2043	14836	4670	10960	7303
ACMSD	5	6	3	5	5	2	5	1	0	0	0
ACN9	132	98	78	104	70	39	72	365	169	351	154
ACO1	734	799	466	1032	670	323	433	1692	1180	2224	1072
ACO2	2720	2757	1526	3193	2129	1087	1277	3002	2905	2673	1675
ACOT1	179	243	139	361	222	88	108	138	89	139	56
ACOT11	132	194	121	227	108	59	194	315	34	211	142
ACOT12	0	1	2	8	3	1	3	0	0	0	0
ACOT13	614	596	405	858	537	318	444	817	1093	866	480
ACOT2	329	406	226	585	387	227	174	537	495	415	143
ACOT4	46	50	56	79	38	35	42	51	3	26	12
ACOT6	0	1	2	2	6	0	0	1	0	0	0
ACOT7	288	396	154	794	475	249	186	5366	1957	4256	2459
ACOT8	271	354	216	383	194	124	182	323	254	337	198
ACOT9	541	595	282	960	600	267	322	2005	2136	1943	891
ACOX1	2233	2474	1532	2840	1816	860	1400	1062	835	1236	646
ACOX2	67	50	39	50	40	20	88	20	1	7	3
ACOX3	1422	1593	1255	1707	887	498	1436	608	223	648	389
ACOXL	14	9	11	6	11	2	8	7	10	6	3
ACP1	1051	922	629	1302	909	460	624	2304	2430	2045	1190
ACP2	679	702	420	1398	782	503	369	734	449	724	267
ACP5	55	79	67	160	96	42	56	450	80	842	505
ACP6	579	547	308	935	557	346	412	513	556	326	152
ACPP	239	188	131	190	103	40	161	6	5	3	16
ACPT	7	17	9	8	10	5	15	3	0	1	1
ACR	4	3	2	7	10	2	2	0	2	2	1
ACRBP	22	32	25	41	29	20	28	2	4	5	0
ACRC	65	53	45	172	113	41	69	23	16	25	8
ACRV1	2	0	1	3	0	0	0	4	0	6	0
ACSBG1	230	227	226	138	59	23	227	5	0	7	1
ACSBG2	13	17	11	17	13	5	22	2	1	3	2
ACSF2	457	535	424	710	437	302	436	421	179	691	547
ACSF3	530	593	420	905	547	288	449	655	685	590	230
ACSL1	1751	1803	1249	4414	2898	1561	1293	1807	1848	1136	1275
ACSL3	3264	3409	1970	6363	4738	2552	1962	6539	12700	5242	2829
ACSL4	1067	1079	661	1763	1273	605	576	4879	2847	4437	1894
ACSL5	264	362	236	792	430	231	284	75	1	16	13
ACSL6	3	6	7	9	2	0	4	3	0	10	5
ACSM1	30	34	26	31	15	14	38	13	15	13	10
ACSM2A	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0	0
ACSM3	12	31	26	38	35	15	23	9	10	8	7
ACSM4	0	0	0	0	0	1	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0	0	0	0	0
ACSS1	956	971	977	881	417	295	836	103	80	134	120
ACSS2	977	1121	495	1873	1156	518	516	2721	835	1418	1776
ACSS3	300	325	179	259	135	106	235	183	80	86	19
ACTA1	21	2	4	41	14	10	10	8	2	3	3
ACTA2	90	111	81	231	105	82	64	195	305	359	137
ACTB	24251	27843	13073	56070	36969	16099	10932	196528	96479	147694	76467
ACTBL2	3	6	2	15	13	4	7	10	0	11	7
ACTC1	0	0	0	0	0	0	0	0	0	0	0
ACTG1	20900	30759	12421	42880	26748	10561	10049	127840	71363	99464	69477
ACTG1P4	19	35	18	34	38	9	32	3	0	7	0
ACTG2	13	2	2	0	2	0	3	0	1	2	2
ACTL10	92	122	98	182	64	79	52	126	33	70	35
ACTL6A	733	689	370	810	484	289	350	2340	1525	2239	838
ACTL6B	1	1	0	3	2	0	4	0	0	0	0
ACTL7A	3	5	1	5	1	1	3	0	0	0	0
ACTL7B	0	2	0	5	0	0	1	0	0	2	0
ACTL8	0	0	0	0	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0
ACTN1	3963	4200	2275	4841	2637	1299	1805	30844	13936	33340	14146
ACTN1-AS1	4	3	3	1	2	2	3	2	2	2	3
ACTN2	0	0	0	0	0	0	0	1	0	5	1
ACTN3	2	0	0	3	6	1	1	0	0	2	0
ACTN4	13183	14399	7810	27516	16552	9594	5539	33760	11562	33908	17855
ACTR10	783	770	510	1013	716	335	475	1269	1411	1377	647
ACTR1A	1253	1347	748	2179	1429	795	698	4289	2714	4600	1828
ACTR1B	1516	1466	1090	1491	834	658	905	1430	1348	1813	798
ACTR2	6590	6568	3548	8847	6506	2969	2794	14580	12924	15119	7440
ACTR3	4134	3764	2128	5610	3998	1905	1938	9028	9869	7453	4334
ACTR3B	145	149	108	150	81	43	117	284	285	235	106
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	144	182	147	187	79	58	168	29	18	29	20
ACTR5	157	172	104	282	156	99	143	291	216	268	129
ACTR6	794	899	403	921	647	294	492	459	449	526	257
ACTR8	590	554	435	826	508	283	432	776	368	744	343
ACTRT1	0	0	0	0	0	0	2	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	33	18	23	26	18	12	25	137	17	95	40
ACVR1	1250	1268	826	1869	1348	707	812	998	2263	1201	545
ACVR1B	1495	1573	1154	2540	1603	909	956	1205	1859	1144	648
ACVR1C	6	16	2	23	30	11	12	7	7	10	8
ACVR2A	689	672	442	980	729	399	456	218	415	196	102
ACVR2B	1155	1341	677	1297	842	516	611	211	314	242	71
ACVR2B-AS1	19	29	13	34	6	3	25	6	21	10	1
ACVRL1	16	25	7	60	18	12	16	8	0	0	0
ACY1	16	14	5	19	12	14	2	113	66	101	47
ACY3	2	3	6	8	11	8	6	1	0	0	0
ACYP1	179	163	125	155	109	42	185	261	203	358	109
ACYP2	142	116	138	196	105	47	136	161	200	179	106
ADA	57	64	36	76	57	35	35	552	73	572	300
ADAD1	0	0	0	0	0	0	0	0	0	0	0
ADAD2	40	41	42	59	35	16	27	39	0	35	24
ADAL	301	236	154	285	152	87	164	180	108	141	72
ADAM10	2542	2766	1763	4585	3445	1818	1634	4358	5345	3814	2112
ADAM11	14	19	18	29	26	23	28	4	1	2	2
ADAM12	474	438	561	404	221	85	963	24	2	53	12
ADAM15	2353	2696	989	3637	2220	1361	1057	8034	5902	6838	4203
ADAM17	1066	1121	599	2435	2045	845	712	1675	3737	1983	959
ADAM18	0	0	0	0	0	0	0	0	0	0	0
ADAM19	1	1	2	3	6	2	3	13	13	168	82
ADAM1A	123	148	112	196	113	55	207	64	22	77	29
ADAM2	0	0	0	0	0	0	0	0	0	0	0
ADAM20	46	53	53	134	79	31	106	0	1	1	0
ADAM20P1	30	44	38	90	56	21	41	1	3	5	3
ADAM21	14	18	21	58	38	11	39	31	1	11	2
ADAM21P1	0	0	3	3	0	1	0	2	0	1	0
ADAM22	97	115	100	90	65	33	114	15	1	35	3
ADAM23	0	0	1	2	0	0	0	16	12	63	41
ADAM28	740	681	924	2049	1154	733	1036	539	67	265	143
ADAM29	0	0	0	0	0	0	0	0	0	1	0
ADAM30	0	0	0	0	0	1	0	0	0	0	0
ADAM32	48	54	35	112	86	22	74	12	7	21	6
ADAM33	0	0	0	0	0	0	0	1	0	0	0
ADAM3A	0	0	0	0	0	0	0	0	0	0	0
ADAM5	0	0	0	3	4	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	2	0	0	0	0	0	0	0	0	0
ADAM8	202	345	152	1451	981	597	200	3781	8618	1432	762
ADAM9	5858	6147	2438	8993	6773	3032	2236	12142	15871	12713	5976
ADAMDEC1	0	0	0	3	2	0	0	0	0	0	0
ADAMTS1	50	51	18	145	135	50	12	5121	3922	7327	4633
ADAMTS10	7	14	7	24	15	9	28	5	1	7	1
ADAMTS12	0	1	3	0	1	2	2	0	0	0	0
ADAMTS13	213	263	207	356	213	119	267	51	62	152	45
ADAMTS14	21	40	56	16	20	11	70	17	0	4	3
ADAMTS15	146	165	79	273	167	84	64	204	5	165	28
ADAMTS16	7	8	8	21	8	3	20	0	1	1	1
ADAMTS17	49	54	52	59	33	20	54	10	36	10	0
ADAMTS18	1	0	0	0	0	0	0	0	0	0	1
ADAMTS19	5	11	10	1	7	1	14	10	4	13	5
ADAMTS2	0	0	0	0	0	1	0	1	0	1	1
ADAMTS20	0	0	0	3	1	0	1	0	1	0	1
ADAMTS3	69	49	85	31	13	2	66	70	22	36	21
ADAMTS4	20	29	8	12	6	8	16	0	0	1	2
ADAMTS5	0	0	0	0	0	0	0	3	1	1	0
ADAMTS6	29	23	12	15	11	3	24	6	1	71	28
ADAMTS7	19	32	16	64	62	37	16	266	70	325	82
ADAMTS7P1	5	14	5	13	11	4	10	0	0	1	0
ADAMTS8	33	35	20	34	12	14	49	1	1	1	0
ADAMTS9	4	5	17	3	0	0	14	115	17	15	8
ADAMTS9-AS2	2	0	2	0	0	0	1	1	3	0	0
ADAMTSL1	14	27	16	16	4	2	13	2	1	3	2
ADAMTSL2	0	5	2	6	11	3	4	1	0	0	0
ADAMTSL3	460	467	181	848	390	291	166	137	47	23	15
ADAMTSL4	97	122	83	303	214	161	140	292	93	257	534
ADAMTSL4-AS1	55	105	51	153	63	55	79	1	3	10	3
ADAMTSL5	231	204	96	339	237	145	87	188	196	234	220
ADAP1	377	418	292	993	667	436	237	935	1143	449	387
ADAP2	52	65	57	81	50	32	41	15	48	21	72
ADAR	6710	7474	4460	26638	14926	9457	4314	6516	5508	6722	2698
ADARB1	196	210	142	199	122	97	173	439	501	816	345
ADARB2	28	23	19	36	29	17	41	19	4	5	2
ADARB2-AS1	1	0	0	2	0	0	5	0	0	0	0
ADAT1	731	771	464	1013	591	343	411	561	448	624	238
ADAT2	112	143	74	204	108	77	132	356	111	463	181
ADAT3	297	299	211	307	187	97	167	220	105	197	77
ADC	143	158	120	202	96	56	133	91	98	110	62
ADCK1	115	112	87	135	90	70	82	230	105	200	85
ADCK2	547	561	346	619	458	303	238	884	1812	752	324
ADCK3	1323	1365	921	1909	869	609	657	233	21	356	67
ADCK4	1157	1235	959	1089	486	416	1141	675	498	600	320
ADCK5	193	231	167	240	147	123	139	461	353	594	211
ADCY1	21	23	11	21	13	10	20	90	1002	174	55
ADCY10	6	8	3	13	10	4	3	2	0	1	3
ADCY10P1	53	95	64	144	101	60	119	32	52	106	28
ADCY2	228	263	334	409	188	154	481	4	12	8	3
ADCY3	318	374	158	582	385	172	187	1976	873	1761	584
ADCY4	71	91	41	314	224	118	75	98	52	74	43
ADCY5	54	73	61	61	31	29	47	5	6	15	1
ADCY6	1403	1607	1067	3067	1854	1230	1196	1539	1105	2052	783
ADCY7	171	232	89	547	288	188	127	848	2698	1169	537
ADCY8	0	0	0	0	0	0	0	0	0	1	0
ADCY9	2474	2829	2028	4290	2806	1503	1483	1744	2447	1438	614
ADCYAP1	0	0	1	0	0	0	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0	0	0	1	0	0	0
ADD1	3165	3221	2225	5138	2995	1632	1864	5851	4604	5884	2832
ADD2	0	0	1	1	1	0	1	7	2	2	1
ADD3	5231	5250	3331	7800	5207	2743	3411	1495	444	1425	838
ADD3-AS1	5	8	2	7	3	2	15	1	1	1	0
ADGB	2698	2518	1884	1639	787	442	3178	1	0	0	0
ADH1A	48	32	39	38	12	3	89	2	0	2	0
ADH1B	4	0	6	14	14	4	18	0	0	1	0
ADH1C	1656	1704	1634	3278	2833	1076	1620	6	1	1	0
ADH4	38	45	64	29	29	10	100	0	0	1	0
ADH5	1313	1362	975	1980	1108	691	862	4935	2428	5139	2810
ADH6	541	523	512	165	66	33	708	31	14	42	12
ADH7	7792	6653	3942	6305	4152	2213	3566	190	11	70	213
ADHFE1	204	238	241	366	237	119	374	21	89	24	22
ADI1	544	503	475	700	456	300	469	1803	704	1481	757
ADIG	2	1	3	2	2	3	0	0	0	1	0
ADIPOQ	0	3	0	0	0	0	0	0	1	2	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0	0	1	0
ADIPOR1	2600	2566	1612	3302	2295	1297	1417	4266	5775	4527	2217
ADIPOR2	1164	1301	724	2720	1897	999	684	3550	3842	3571	1714
ADIRF	99	79	75	178	132	67	68	1079	1332	331	291
ADK	434	456	320	642	429	230	412	1884	1042	1808	1173
ADM	92	103	37	466	312	173	43	573	1034	2198	2697
ADM2	1292	1310	755	2290	1463	1187	579	627	4814	305	331
ADM5	14	22	13	33	10	17	11	50	5	66	17
ADNP	4707	4899	3077	7206	5096	2410	2952	2958	2750	3067	1275
ADNP2	842	996	451	1477	971	489	495	1291	1489	1260	575
ADO	423	422	284	592	406	252	241	1019	791	997	480
ADORA1	0	2	0	0	1	0	0	11	0	7	1
ADORA2A	3	3	0	7	8	4	0	0	1	2	0
ADORA2A-AS1	6	2	10	39	14	10	7	1	2	0	2
ADORA2B	396	464	178	793	602	305	178	1325	1997	1026	450
ADORA3	0	4	2	2	1	0	0	0	0	0	0
ADPGK	649	641	411	1045	713	350	506	1409	570	1343	512
ADPGK-AS1	13	10	10	20	17	7	16	0	1	0	2
ADPRH	53	52	45	84	39	34	40	141	111	91	34
ADPRHL1	159	158	154	101	63	12	127	43	30	22	9
ADPRHL2	748	808	554	966	475	320	716	1259	1020	1242	624
ADPRM	115	103	71	187	126	46	80	124	325	112	76
ADRA1A	0	0	0	0	0	0	0	0	0	0	0
ADRA1B	7	1	4	3	2	0	4	101	8	23	8
ADRA1D	1	0	0	1	5	3	1	0	5	0	1
ADRA2A	205	209	334	75	42	44	229	2	1	1	0
ADRA2B	4	6	6	7	7	4	6	4	2	1	2
ADRA2C	0	0	1	0	0	1	0	19	12	10	2
ADRB1	604	709	279	883	689	486	225	31	744	14	6
ADRB2	124	145	112	414	273	177	174	1097	608	1555	582
ADRB3	0	1	0	0	0	0	0	0	0	0	0
ADRBK1	2494	2698	1658	5213	3311	1903	1297	5055	6376	3649	1962
ADRBK2	1559	1705	1089	1722	1128	500	1007	520	381	450	181
ADRM1	1362	1256	915	1777	1009	793	714	5957	5027	4701	2198
